0	988789	1015657	909353	81911
1	988908	1015691	909420	81937
2	988854	1015748	909474	81940
3	988857	1015618	909339	82007
4	988784	1015624	909313	81969
5	988769	1015635	909326	82014
6	988735	1015498	909296	82039
7	988710	1015525	909267	82089
8	988681	1015564	909221	82080
9	988717	1015659	909316	82128
10	988764	1015664	909387	82205
11	988758	1015522	909361	82244
12	988729	1015565	909333	82288
13	988788	1015536	909328	82288
14	988731	1015479	909299	82278
15	988777	1015521	909359	82346
16	988739	1015550	909317	82324
17	988633	1015423	909302	82402
18	988618	1015386	909184	82375
19	988625	1015484	909312	82430
20	988715	1015540	909394	82507
21	988708	1015464	909335	82589
22	988697	1015419	909331	82559
23	988713	1015546	909361	82595
24	988715	1015511	909389	82581
25	988701	1015578	909387	82630
26	988750	1015561	909322	82656
27	988688	1015378	909263	82696
28	988650	1015358	909212	82700
29	988654	1015339	909261	82765
30	988632	1015426	909259	82850
31	988697	1015438	909291	82876
32	988683	1015386	909289	82920
33	988660	1015400	909348	82924
34	988595	1015444	909265	82911
35	988696	1015461	909328	82957
36	988823	1015641	909467	82932
37	988905	1015809	909621	83019
38	988954	1015871	909689	83032
39	989014	1015776	909667	83065
40	988990	1015809	909718	83090
41	989050	1015810	909717	83101
42	989023	1015774	909650	83107
43	989048	1015750	909775	83143
44	989092	1015788	909786	83163
45	989162	1015936	909813	83143
46	989209	1016055	909963	83201
47	989324	1016159	910018	83255
48	989420	1016297	910129	83279
49	989532	1016283	910210	83358
50	989557	1016327	910249	83333
51	989614	1016464	910400	83338
52	989596	1016456	910473	83352
53	989678	1016514	910486	83348
54	989701	1016512	910475	83363
55	989776	1016574	910613	83456
56	989772	1016655	910508	83427
57	989786	1016738	910602	83507
58	989816	1016635	910632	83568
59	989788	1016728	910677	83578
60	989740	1016722	910594	83617
61	989741	1016700	910648	83604
62	989714	1016543	910613	83585
63	989668	1016526	910625	83639
64	989671	1016476	910584	83613
65	989683	1016436	910627	83614
66	989721	1016542	910626	83661
67	989741	1016596	910753	83740
68	989780	1016687	910807	83772
69	989819	1016788	910751	83817
70	989838	1016759	910822	83816
71	989866	1016925	910973	83816
72	989888	1016925	910952	83813
73	989935	1016960	911089	83792
74	989976	1017048	911146	83805
75	990065	1017141	911204	83808
76	990028	1017228	911260	83857
77	990148	1017245	911325	83872
78	990169	1017271	911410	83954
79	990323	1017420	911479	83984
80	990374	1017514	911479	83983
81	990390	1017503	911547	84004
82	990462	1017531	911637	84011
83	990532	1017659	911699	84012
84	990534	1017603	911709	84003
85	990616	1017787	911810	84077
86	990753	1017904	911966	84134
87	990879	1017937	911988	84186
88	990868	1017854	912012	84148
89	990863	1017903	912031	84128
90	990860	1018001	911993	84116
91	990876	1018056	912049	84157
92	990856	1018036	911945	84159
93	990934	1017898	911949	84194
94	990927	1017983	912035	84218
95	990994	1018021	912105	84265
96	991072	1018104	912185	84335
97	991113	1018220	912180	84296
98	991088	1018215	912229	84321
99	991098	1018216	912322	84329
100	991106	1018239	912328	84318
101	991219	1018361	912387	84283
102	991144	1018296	912339	84357
103	991255	1018303	912409	84336
104	991267	1018331	912440	84317
105	991330	1018449	912534	84372
106	991360	1018450	912524	84427
107	991402	1018395	912536	84417
108	991414	1018475	912523	84437
109	991419	1018395	912537	84483
110	991437	1018549	912586	84468
111	991425	1018613	912608	84481
112	991416	1018505	912631	84449
113	991430	1018611	912664	84452
114	991478	1018551	912665	84528
115	991569	1018783	912804	84572
116	991641	1018823	912925	84583
117	991712	1018897	912998	84586
118	991747	1018957	913002	84602
119	991717	1018881	912973	84619
120	991726	1018987	913002	84588
121	991739	1018937	912963	84587
122	991698	1018930	912976	84586
123	991796	1019029	913089	84628
124	991864	1018989	913108	84656
125	991859	1018971	913096	84662
126	991856	1019069	913134	84681
127	991874	1019039	913114	84646
128	991830	1018960	913038	84631
129	991855	1019117	913052	84641
130	991831	1019098	913110	84604
131	991866	1019126	913198	84615
132	991861	1019089	913197	84642
133	991997	1019277	913178	84646
134	991985	1019271	913238	84684
135	992053	1019168	913293	84708
136	992045	1019239	913324	84677
137	992110	1019185	913314	84690
138	992108	1019188	913266	84673
139	992134	1019230	913272	84637
140	992137	1019180	913232	84681
141	992091	1019155	913246	84678
142	992071	1019283	913275	84662
143	992057	1019167	913296	84690
144	992109	1019325	913377	84687
145	992166	1019397	913467	84709
146	992133	1019346	913434	84686
147	992154	1019292	913422	84706
148	992247	1019383	913444	84653
149	992218	1019388	913372	84648
150	992116	1019286	913366	84666
151	992183	1019407	913382	84692
152	992131	1019346	913385	84635
153	992222	1019304	913418	84678
154	992277	1019419	913506	84714
155	992279	1019379	913524	84729
156	992260	1019349	913445	84743
157	992258	1019465	913512	84709
158	992232	1019336	913504	84675
159	992233	1019502	913495	84639
160	992228	1019370	913516	84658
161	992315	1019427	913538	84678
162	992339	1019476	913601	84663
163	992355	1019545	913596	84661
164	992330	1019602	913620	84674
165	992327	1019563	913615	84704
166	992309	1019485	913589	84667
167	992270	1019513	913592	84660
168	992264	1019455	913592	84636
169	992303	1019462	913587	84647
170	992309	1019498	913582	84630
171	992300	1019585	913648	84700
172	992395	1019511	913654	84697
173	992365	1019457	913653	84723
174	992378	1019546	913678	84665
175	992381	1019558	913676	84675
176	992342	1019468	913632	84606
177	992320	1019537	913713	84596
178	992310	1019553	913653	84555
179	992278	1019479	913659	84538
180	992285	1019581	913662	84529
181	992338	1019520	913663	84617
182	992336	1019526	913719	84656
183	992263	1019551	913714	84635
184	992281	1019596	913713	84583
185	992269	1019485	913704	84607
186	992305	1019415	913601	84502
187	992255	1019511	913711	84515
188	992270	1019386	913579	84510
189	992213	1019516	913570	84499
190	992216	1019464	913591	84497
191	992225	1019466	913608	84516
192	992274	1019537	913667	84510
193	992304	1019493	913746	84527
194	992233	1019611	913666	84450
195	992193	1019564	913651	84474
196	992179	1019534	913667	84447
197	992195	1019480	913638	84474
